date|time|description|vendor|amount
2023-04-15|10:13:25|ergonomic keyboard|Amazon|-89.50
2023-04-15|11:15:00|Invoice 1001 paid|Joe|1500.00
2023-04-16|09:45:13|coffee|Starbucks|-4.25
2023-04-16|14:20:00|sold old bike|Facebook Marketplace|120.00
2023-04-17|08:30:00|monthly rent|Landlord|-1200.00
2023-04-17|12:05:44|headphones|Best Buy|-129.99
2023-04-17|18:30:00|freelance web design|Client A|800.00
2023-04-18|11:12:23|office chair|IKEA|-199.00
2023-04-18|16:45:00|sold desk|Craigslist|75.00
2023-04-19|07:55:33|groceries|Walmart|-95.22
2023-04-19|17:20:00|Uber ride|Uber|-23.50
2023-04-20|10:00:00|monthly subscription|Netflix|-15.99
2023-04-20|14:45:00|lawn mowing service|Neighbor|60.00
2023-04-21|13:05:12|notebook|Staples|-6.99
2023-04-21|19:00:00|dog walking|Client B|40.00
2023-04-22|08:22:00|car wash|Local Car Wash|-12.00
2023-04-22|10:30:00|sold shoes|eBay|55.00
2023-04-22|12:50:00|fast food lunch|McDonald's|-8.75
2023-04-23|09:00:00|morning yoga class|Yoga Studio|-20.00
2023-04-23|15:00:00|babysitting|Neighbor|100.00
2023-04-24|08:40:00|breakfast sandwich|Dunkin'|-5.25
2023-04-24|13:15:00|sold old TV|OfferUp|150.00
2023-04-25|17:25:00|cinema ticket|AMC Theaters|-14.50
2023-04-26|12:00:00|bought book|Barnes & Noble|-18.99
2023-04-26|16:20:00|guitar lesson|Music School|-35.00
2023-04-27|07:30:00|gas refill|Shell|-42.70
2023-04-27|20:00:00|sold guitar|Marketplace|300.00
2023-04-28|11:45:00|purchased flowers|Florist|-29.95
2023-04-28|18:10:00|cat sitting service|Client C|45.00
2023-04-29|10:05:00|snack|7-Eleven|-3.25
2023-04-29|15:00:00|sold camera|eBay|250.00
2023-04-30|09:30:00|gym membership|Planet Fitness|-29.99
2023-04-30|14:00:00|invoice payment|Client D|950.00
2023-05-01|08:10:00|bagel and coffee|Local Cafe|-7.50
2023-05-01|19:45:00|grocery delivery|Instacart|-120.00
2023-05-02|07:20:00|breakfast burrito|Chick-fil-A|-6.85
2023-05-02|16:30:00|sold bookshelf|Nextdoor|85.00
2023-05-03|09:00:00|online course|Udemy|-13.99
2023-05-03|17:15:00|babysitting payment|Family Friend|75.00
2023-05-04|12:10:00|public transport|Metro|-2.50
2023-05-04|18:30:00|sold old phone|Gazelle|100.00
2023-05-05|10:00:00|new laptop|Apple Store|-1299.00
2023-05-05|14:00:00|invoice payment|Client E|1200.00
2023-05-06|11:50:00|garden supplies|Home Depot|-65.49
2023-05-06|16:15:00|sold sofa|Facebook Marketplace|200.00
2023-05-07|07:55:00|coffee|Starbucks|-4.95
2023-05-07|18:20:00|house cleaning|Client F|150.00
2023-05-08|13:30:00|movie rental|Amazon Prime|-3.99
2023-05-08|20:00:00|sold concert tickets|StubHub|300.00
2025-04-30|13:58:15|paycheck|amazon|700.0
2025-04-30|14:31:01.310918800|paycheck|amazon|500.0
2025-04-28|09:25:10|freelance project|ClientX|800.00
2025-04-27|16:45:00|grocery run|Walmart|-95.22
2025-04-20|14:10:00|movie night|Netflix|-15.99
2025-04-15|10:00:00|paycheck|Employer|1500.00
2025-04-10|13:30:00|coffee|Starbucks|-4.25
2025-04-05|08:20:00|rent|Landlord|-1200.00
2025-03-28|17:50:00|sold table|Facebook Market|90.00
2025-03-25|15:15:00|new keyboard|Amazon|-89.99
2025-03-20|11:10:00|invoice #202|DesignClient|500.00
2025-03-10|12:00:00|headphones|Best Buy|-129.99
2025-04-30|15:16:25|Invoice payment|Client X|-550.0
2025-04-30|15:18:03|Groceries|Harris Teeter|-50.0
2025-05-01|10:55:01|Netflix|Netflix|-14.99
